Lines of code metrics;domingo; 4 dez. 2022 00:58:33 WET;;;;;;;;;;;;;;;
Method;CLOC;JLOC;LOC;NCLOC;RLOC;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultCatalog.DefaultCatalog();3;3;6;3;17,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultCatalog.getSchemas();0;0;6;6;17,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultSchema.DefaultSchema();3;3;6;3;13,04%;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultSchema.getCatalog();0;0;4;4;8,70%;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultSchema.getTables();0;0;9;9;19,57%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.Logrecord();3;3;6;3;6,12%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.Logrecord(Name);3;3;6;3;6,12%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.Logrecord(Name; Table<LogrecordRecord>);0;0;3;3;3,06%;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.Logrecord(Name; Table<LogrecordRecord>; Field<?>[]);0;0;3;3;3,06%;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.Logrecord(String);3;3;6;3;6,12%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.Logrecord(Table<O>; ForeignKey<O; LogrecordRecord>);0;0;3;3;3,06%;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.as(Name);0;0;4;4;4,08%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.as(String);0;0;4;4;4,08%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.fieldsRow();0;0;4;4;4,08%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.getIdentity();0;0;4;4;4,08%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.getPrimaryKey();0;0;4;4;4,08%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.getRecordType();3;3;7;4;7,14%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.getSchema();0;0;4;4;4,08%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.rename(Name);3;3;7;4;7,14%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord.rename(String);3;3;7;4;7,14%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Task.Task();3;3;6;3;4,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Task.Task(Name);3;3;6;3;4,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Task.Task(Name; Table<TaskRecord>);0;0;3;3;2,05%;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Task.Task(Name; Table<TaskRecord>; Field<?>[]);0;0;3;3;2,05%;;;;;;;;;;
biz.ganttproject.storage.db.tables.Task.Task(String);3;3;6;3;4,11%;;;;;;;;;;;;
